표준버스정류장ID,노선번호,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,정류소명,X좌표,Y좌표,매칭된지하철역,역과거리(m)
100000001,N37,18,26,201,207,165,118,0,0,0,0,0,0,종로2가사거리,126.987752,37.569808,을지로3가,527.7080308170842
100000001,N37,0,0,0,0,156,114,317,153,131,48,0,0,종로2가사거리,126.987752,37.569808,을지로3가,527.7080308170842
100000002,N31,0,0,0,0,2,2,0,1,0,1,0,0,창경궁.서울대학교병원,126.996522,37.579433,을지로4가,1430.0953442964492
100000002,N31,7,3,0,0,0,0,0,0,0,0,0,0,창경궁.서울대학교병원,126.996522,37.579433,을지로4가,1430.0953442964492
100000003,N31,227,24,81,5,0,0,0,0,0,0,0,0,명륜3가.성대입구,126.998251,37.582581,을지로4가,1772.5220546946227
100000003,N31,0,0,0,0,98,15,21,5,26,2,0,0,명륜3가.성대입구,126.998251,37.582581,을지로4가,1772.5220546946227
100000004,N37,140,21,299,88,59,17,0,0,0,0,0,0,종로2가.삼일교,126.9876130976,37.5685792736,을지로3가,446.66422943360203
100000004,N37,0,0,0,0,93,38,137,73,16,8,0,0,종로2가.삼일교,126.9876130976,37.5685792736,을지로3가,446.66422943360203
100000005,N31,57,26,26,14,0,0,0,0,0,0,0,0,혜화동로터리.여운형활동터,127.001744,37.586243,을지로4가,2202.291010441266
100000005,N31,0,0,0,0,31,26,7,5,32,16,0,0,혜화동로터리.여운형활동터,127.001744,37.586243,을지로4가,2202.291010441266
100000022,N51,27,3,25,9,14,21,0,0,0,0,0,0,경복궁,126.9787471496,37.5755767894,용답,1020.1795050955984
100000022,N51,0,0,0,0,0,0,6,15,4,23,2,5,경복궁,126.9787471496,37.5755767894,용답,1020.1795050955984
100000023,N51,0,0,0,0,0,0,14,12,15,50,0,6,KT광화문지사,126.9774187393,37.572209741,용답,644.6774603737317
100000023,N51,11,11,35,10,28,13,0,0,0,0,0,0,KT광화문지사,126.9774187393,37.572209741,용답,644.6774603737317
100000025,N75,0,0,0,0,17,27,45,99,29,69,0,0,광화문,126.976408,37.570045,용답,423.2137084853914
100000025,N75,127,29,69,51,30,43,0,0,0,0,0,0,광화문,126.976408,37.570045,용답,423.2137084853914
100000028,N37,0,0,0,0,24,24,71,43,24,12,0,0,서울역사박물관.경교장.강북삼성병원,126.971248,37.570023,용답,708.6247877178866
100000028,N37,3,0,71,37,59,43,0,0,0,0,0,0,서울역사박물관.경교장.강북삼성병원,126.971248,37.570023,용답,708.6247877178866
100000030,N75,0,0,0,0,17,25,39,47,28,89,3,11,광화문,126.975837,37.570365,용답,473.84192198595923
100000030,N75,68,28,104,51,90,48,0,0,0,0,0,0,광화문,126.975837,37.570365,용답,473.84192198595923
100000031,N51,27,4,52,25,20,26,0,0,0,0,0,0,세종문화회관,126.976997,37.573648,용답,806.7474635626736
100000031,N51,0,0,0,0,5,3,12,56,1,51,0,0,세종문화회관,126.976997,37.573648,용답,806.7474635626736
100000034,N51,34,15,103,35,31,14,0,0,0,0,0,0,광화문.광화문빌딩,126.976545,37.569495,용답,361.4458969633933
100000034,N51,0,0,0,0,25,16,27,51,12,30,0,0,광화문.광화문빌딩,126.976545,37.569495,용답,361.4458969633933
100000035,N51,12,1,8,7,2,2,0,0,0,0,0,0,덕성여중고,126.981972,37.575768,을지로입구,1085.6382037310268
100000035,N51,0,0,0,0,3,4,9,23,0,7,0,0,덕성여중고,126.981972,37.575768,을지로입구,1085.6382037310268
100000036,N51,26,7,22,6,8,5,0,0,0,0,0,0,안국역.서울공예박물관,126.9839957858,37.5760695565,을지로입구,1124.9095545655791
100000036,N51,0,0,0,0,3,4,8,11,2,11,0,0,안국역.서울공예박물관,126.9839957858,37.5760695565,을지로입구,1124.9095545655791
100000076,N51,37,21,23,17,22,16,0,0,0,0,0,0,창덕궁.서울돈화문국악당,126.9885394479,37.5775405746,을지로3가,1280.7238151060387
100000076,N51,0,0,0,0,14,32,23,144,7,168,0,0,창덕궁.서울돈화문국악당,126.9885394479,37.5775405746,을지로3가,1280.7238151060387
