표준버스정류장ID,노선번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수
100000001,N37,종로2가사거리(00032),18,26,201,207,165,118,0,0,0,0,0,0
100000001,N37,종로2가사거리(00089),0,0,0,0,156,114,317,153,131,48,0,0
100000002,N31,창경궁.서울대학교병원(00089),0,0,0,0,2,2,0,1,0,1,0,0
100000002,N31,창경궁.서울대학교병원(00013),7,3,0,0,0,0,0,0,0,0,0,0
100000003,N31,명륜3가.성대입구(00012),227,24,81,5,0,0,0,0,0,0,0,0
100000003,N31,명륜3가.성대입구(00088),0,0,0,0,98,15,21,5,26,2,0,0
100000004,N37,종로2가.삼일교(00026),140,21,299,88,59,17,0,0,0,0,0,0
100000004,N37,종로2가.삼일교(00081),0,0,0,0,93,38,137,73,16,8,0,0
100000005,N31,혜화동로터리.여운형활동터(00011),57,26,26,14,0,0,0,0,0,0,0,0
100000005,N31,혜화동로터리.여운형활동터(00087),0,0,0,0,31,26,7,5,32,16,0,0
100000022,N51,경복궁(00042),27,3,25,9,14,21,0,0,0,0,0,0
100000022,N51,경복궁(00122),0,0,0,0,0,0,6,15,4,23,2,5
100000023,N51,KT광화문지사(00121),0,0,0,0,0,0,14,12,15,50,0,6
100000023,N51,KT광화문지사(00041),11,11,35,10,28,13,0,0,0,0,0,0
100000025,N75,광화문역6번출구(00125),0,0,0,0,17,27,45,99,29,69,0,0
100000025,N75,광화문역6번출구(00040),127,29,69,51,30,43,0,0,0,0,0,0
100000028,N37,서울역사박물관.강북삼성병원(00093),0,0,0,0,24,24,71,43,24,12,0,0
100000028,N37,서울역사박물관.강북삼성병원(00036),3,0,71,37,59,43,0,0,0,0,0,0
100000030,N75,광화문역7번출구(00135),0,0,0,0,17,25,39,47,28,89,3,11
100000030,N75,광화문역7번출구(00048),68,28,104,51,90,48,0,0,0,0,0,0
100000031,N51,세종문화회관(00038),27,4,52,25,20,26,0,0,0,0,0,0
100000031,N51,세종문화회관(00116),0,0,0,0,5,3,12,56,1,51,0,0
100000034,N51,광화문광화문빌딩(00039),34,15,103,35,31,14,0,0,0,0,0,0
100000034,N51,광화문광화문빌딩(00117),0,0,0,0,25,16,27,51,12,30,0,0
100000035,N51,덕성여중고(00037),12,1,8,7,2,2,0,0,0,0,0,0
100000035,N51,덕성여중고(00115),0,0,0,0,3,4,9,23,0,7,0,0
100000036,N51,안국역.서울공예박물관(00036),26,7,22,6,8,5,0,0,0,0,0,0
100000036,N51,안국역.서울공예박물관(00114),0,0,0,0,3,4,8,11,2,11,0,0
100000076,N51,창덕궁(00035),37,21,23,17,22,16,0,0,0,0,0,0
100000076,N51,창덕궁(00113),0,0,0,0,14,32,23,144,7,168,0,0
100000102,N31,원남동(00090),0,0,0,0,9,18,3,16,2,25,0,0
100000102,N31,원남동(00014),6,13,6,18,0,0,0,0,0,0,0,0
100000103,N51,창덕궁.우리소리박물관(00044),21,20,46,26,81,34,0,0,0,0,0,0
100000103,N51,창덕궁.우리소리박물관(00124),0,0,0,0,0,0,46,25,16,36,2,7
100000104,N51,안국역6번출구.인사동(00123),0,0,0,0,0,0,22,32,7,43,0,10
100000104,N51,안국역6번출구.인사동(00043),32,14,25,27,46,35,0,0,0,0,0,0
100000108,N31,종로5가.효제동.김상옥의거터(00133),0,0,0,0,0,0,13,30,13,87,4,21
100000108,N31,종로5가.효제동.김상옥의거터(00063),0,0,16,59,29,54,19,50,0,0,0,0
100000118,N16,동대문(00029),58,135,84,380,60,188,0,0,0,0,0,0
100000118,N16,동대문(00092),0,0,0,0,22,94,102,181,31,80,0,0
100000119,N51,충신동(00048),2,1,57,37,102,83,3,0,0,0,0,0
100000119,N51,충신동(00128),0,0,0,0,0,0,58,48,26,21,2,18
100000119,N16,충신동(00028),13,49,18,83,9,21,0,0,0,0,0,0
100000119,N16,충신동(00091),0,0,0,0,12,18,18,35,27,31,0,0
100000121,N51,충신동(00110),0,0,0,0,7,35,9,59,23,13,0,0
100000121,N51,충신동(00032),7,49,18,26,6,30,0,0,0,0,0,0
100000121,N16,충신동(00105),0,0,0,0,0,0,68,57,53,27,0,0
100000121,N16,충신동(00037),0,0,55,112,81,98,0,0,0,0,0,0
